     velsurf       thk_regu           glen
     27.9606        11.5519        -0.3533
     27.9574        11.5397        -0.3533
     27.9488        11.5301        -0.3533
     27.9456        11.5170        -0.3533
     27.9328        11.5141        -0.3533
     27.9295        11.5020        -0.3533
     27.9159        11.5002        -0.3533
     27.9135        11.4894        -0.3533
     27.9005        11.4861        -0.3533
     27.9029        11.4735        -0.3533
     27.8886        11.4737        -0.3533
     27.8908        11.4599        -0.3533
     27.8785        11.4572        -0.3533
     27.8815        11.4451        -0.3533
     27.8659        11.4463        -0.3533
     27.8641        11.4359        -0.3533
     27.8508        11.4382        -0.3533
     27.8498        11.4261        -0.3533
     27.8382        11.4294        -0.3533
     27.8401        11.4159        -0.3533
     27.8317        11.4153        -0.0902
     77.7789        11.4064        -0.0902
     77.4722        11.3238        -0.0902
     77.1740        11.2695        -0.0902
     76.8895        11.2293        -0.0902
     76.6156        11.2020        -0.0902
     76.3549        11.1810        -0.0902
     76.1048        11.1711        -0.0902
     75.8690        11.1643        -0.0902
     75.6441        11.1636        -0.0902
     75.4295        11.1657        -0.0902
     75.2211        11.1760        -0.0902
     75.0280        11.1850        -0.0902
     74.8428        11.1962        -0.0902
     74.6636        11.2121        -0.0902
     74.4900        11.2309        -0.0902
     74.3203        11.2528        -0.0902
     74.1567        11.2792        -0.0902
     73.9983        11.3060        -0.0902
     73.8447        11.3378        -0.0902
     73.6998        11.3652        -0.0902
     73.5590        11.3973        -0.0902
     73.4216        11.4293        -0.0902
     73.2909        11.4633        -0.0902
     73.1585        11.4991        -0.0902
     73.0376        11.5312        -0.0902
     72.9095        11.5689        -0.0902
     72.7957        11.6016        -0.0902
     72.6772        11.6376        -0.0902
     72.5670        11.6706        -0.0902
     72.4580        11.7072        -0.0902
     72.3522        11.7419        -0.0902
     72.2499        11.7783        -0.0902
     72.1493        11.8134        -0.0902
     72.0504        11.8495        -0.0902
     71.9539        11.8844        -0.0902
     71.8590        11.9215        -0.0902
     71.7645        11.9578        -0.0902
     71.6709        11.9955        -0.0902
     71.5806        12.0313        -0.0902
     71.4901        12.0687        -0.0902
     71.4007        12.1059        -0.0902
     71.3122        12.1437        -0.0902
     71.2261        12.1804        -0.0902
     71.1391        12.2187        -0.0902
     71.0546        12.2555        -0.0902
     70.9663        12.2960        -0.0902
     70.8806        12.3364        -0.0902
     70.7957        12.3761        -0.0902
     70.7109        12.4171        -0.0902
     70.6285        12.4562        -0.0902
     70.5438        12.4975        -0.0902
     70.4629        12.5356        -0.0902
     70.3829        12.5750        -0.0902
     70.3039        12.6129        -0.0902
     70.2253        12.6517        -0.0902
     70.1486        12.6885        -0.0902
     70.0730        12.7266        -0.0902
     69.9984        12.7621        -0.0902
     69.9233        12.8003        -0.0902
     69.8535        12.8332        -0.0902
     69.7861        12.8663        -0.0902
     69.7207        12.8967        -0.0902
     69.6532        12.9314        -0.0902
     69.5861        12.9644        -0.0902
     69.5203        12.9987        -0.0902
     69.4561        13.0304        -0.0902
     69.3931        13.0634        -0.0902
     69.3310        13.0947        -0.0902
     69.2676        13.1296        -0.0902
     69.2108        13.1591        -0.0902
     69.1519        13.1922        -0.0902
     69.0993        13.2190        -0.0902
     69.0452        13.2488        -0.0902
     68.9953        13.2735        -0.0902
     68.9440        13.3022        -0.0902
     68.8941        13.3281        -0.0902
     68.8409        13.3582        -0.0902
     68.7912        13.3867        -0.0902
     68.7396        13.4166        -0.0902
     68.6931        13.4430        -0.0902
     68.6432        13.4725        -0.0902
     68.6012        13.4966        -0.0902
     68.5543        13.5243        -0.0902
     68.5115        13.5496        -0.0902
     68.4704        13.5737        -0.0902
     68.4286        13.5987        -0.0902
     68.3853        13.6265        -0.0902
     68.3487        13.6476        -0.0902
     68.3084        13.6736        -0.0902
     68.2767        13.6914        -0.0902
     68.2386        13.7150        -0.0902
     68.2080        13.7327        -0.0902
     68.1732        13.7541        -0.0902
     68.1441        13.7718        -0.0902
     68.1118        13.7920        -0.0902
     68.0865        13.8066        -0.0902
     68.0560        13.8266        -0.0902
     68.0305        13.8418        -0.0902
     67.9996        13.8617        -0.0902
     67.9747        13.8767        -0.5326
    149.3401        13.8950        -0.5326
    142.7527        13.7976        -0.5326
